,article_id,encode_article_id
0,108775015,0
1,108775044,1
2,108775051,2
3,110065001,3
4,110065002,4
5,110065011,5
6,111565001,6
7,111565003,7
8,111586001,8
9,111593001,9
10,111609001,10
11,112679048,11
12,112679052,12
13,114428026,13
14,114428030,14
15,116379047,15
16,118458003,16
17,118458004,17
18,118458028,18
19,118458029,19
20,118458034,20
21,118458038,21
22,118458039,22
23,120129001,23
24,120129014,24
25,120129018,25
26,120129025,26
27,123173001,27
28,126589006,28
29,126589007,29
30,126589010,30
31,126589011,31
32,126589012,32
33,129085001,33
34,129085026,34
35,129085027,35
36,130035001,36
37,141661022,37
38,141661025,38
39,144993001,39
40,145872001,40
41,145872037,41
42,145872043,42
43,145872051,43
44,145872052,44
45,145872053,45
46,146706001,46
47,146706004,47
48,146706005,48
49,146721001,49
50,146721002,50
51,146730001,51
52,147339034,52
53,148033001,53
54,148033006,54
55,150959011,55
56,150959013,56
57,153115019,57
58,153115020,58
59,153115021,59
60,153115039,60
61,153115040,61
62,153115043,62
63,156224001,63
64,156224002,64
65,156227001,65
66,156227002,66
67,156231001,67
68,156231002,68
69,156289011,69
70,156610001,70
71,156610007,71
72,156610010,72
73,158340001,73
74,160442007,74
75,160442010,75
76,160442042,76
77,160442043,77
78,162074062,78
79,162074069,79
80,162074071,80
81,163734002,81
82,163734054,82
83,164912035,83
84,164912039,84
85,174057022,85
86,174057026,86
87,174057027,87
88,174057028,88
89,174057029,89
90,174057030,90
91,174057032,91
92,174057033,92
93,174057035,93
94,174057036,94
95,174057037,95
96,174057038,96
97,174057039,97
98,174057040,98
99,176209023,99
100,176209025,100
101,176209033,101
102,176209035,102
103,176209039,103
104,176209040,104
105,176209044,105
106,176209046,106
107,176550016,107
108,176550017,108
109,176550018,109
110,176550020,110
111,176550021,111
112,176754001,112
113,176754003,113
114,176754019,114
115,179123001,115
116,179123040,116
117,179208001,117
118,179208008,118
119,179393001,119
120,179393018,120
121,179950001,121
122,179950002,122
123,179950017,123
124,181160009,124
125,181448022,125
126,181448102,126
127,181448103,127
128,181448104,128
129,181448105,129
130,181448106,130
131,181448109,131
132,182909001,132
133,183815013,133
134,184121021,134
135,184123020,135
136,184583014,136
137,186262001,137
138,186262006,138
139,186262007,139
140,186262013,140
141,186264014,141
142,186264015,142
143,186264016,143
144,186266004,144
145,186267001,145
146,186372011,146
147,186372042,147
148,186372045,148
149,186595001,149
150,187949016,150
151,187949019,151
152,187949020,152
153,187949025,153
154,187949026,154
155,187949028,155
156,187949029,156
157,187949030,157
158,187949031,158
159,187949032,159
160,188183001,160
161,188183008,161
162,188183009,162
163,188183010,163
164,188183012,164
165,188183014,165
166,188183015,166
167,188183016,167
